section;topic;code;title;date
Подготовка: основы программирования на Python и эффективной работы с ChatGPT;Тема 1 - Введение в Python и ИИ;VP01;Знакомство с Python и работа с IDE;24.03.2025
;;VP02;Работа с нейросетью. Создание промтов.;26.03.2025
;;VP03;Настройка окружения;
;Тема 2 - Основы Python;OP01;Основы синтаксиса. Переменные и типы данных;31.03.2025
;;OP02;Коллекции и цикл for (списки, кортежи, словари, множества);02.04.2025
;;OP03;Условные операторы и цикл while;04.04.2025
;;OP04;Функции и аргументы функций (def);07.04.2025
;;OP05;Обработка исключений (try-except);14.04.2025
;;OP06;Работа с модулями random и math. Создание собственных модулей и пакетов. Чтение и запись информации файлов;16.04.2025
;;OP07;Изучение работы с модулем Tkinter;21.04.2025
;;OP08;Разработка приложения Tkinter;23.04.2025
;;OP09;Кейс: Разработка Telegram-бота;28.04.2025
;;OP10;Разработка портфолио;30.10.2025
;Тема 3 - Основы Git - система управления версиями;OG01;Введение в Git;05.05.2025
;;OG02;Работа с Git;07.05.2025
;Тема 4 - ООП в Python (объектно-ориентированное программирование);OB01;Введение в ООП. Что такое классы и объекты классов? (методы классов, атрибуты методов);
;;OB02;Наследование и инкапсуляция;
;;OB03;Композиция и полиморфизм;
Практика: разработка на Python с помощью ChatGPT;Тема 5 - Работа с базами данных и SQL;;;
;Тема 6 - Операционная система Linux;;;
;Тема 7- Парсинг;;;
